name,area,suburb,type,has-outlets,has-wifi,has-toilets,link,
Ampersand Cafe & Bookstore,cbd,Paddington,cafe,,,,"https://www.google.com/maps/place/Ampersand+Cafe+%26+Bookstore./@-33.8831035,151.2161103,17z/data=!3m1!4b1!4m6!3m5!1s0x6b9150b490276c1f:0x66b69fecac755de4!8m2!3d-33.8831036!4d151.2209812!16s%2Fg%2F1pwfwrq9r?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
La Lune Market,iw,North Strathfield,cafe,TRUE,FALSE,,"http://google.com/maps/place/La+Lune+Market,+Shop+1+George+Street,+North+Strathfield+NSW/@1.3839804,103.9211566,12.13z/data=!3m1!5s0x31da15ed9fba9541:0xa7e661a3be5461cd!4m5!3m4!1s0x6b12bbe500e3ad9f:0x5f347abcc097ace6!8m2!3d-33.8604425!4d151.0874796?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Provence Garden Cafe,n,Eastwood,cafe,,TRUE,,"https://www.google.com/maps/place/Provence+Garden+Cafe+Eastwood/@-33.7910892,151.0791861,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a439e3fbfa4f:0x7287586004faf5fc!8m2!3d-33.7910892!4d151.081761!16s%2Fg%2F1v9gvm9_?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Chinatown Country Club,cbd,Sydney,cafe,,,,"https://www.google.com/maps/place/Chinatown+Country+Club/@-33.8721876,151.2033228,17z/data=!3m2!4b1!5s0x6b12ae3e8e55a817:0x32ef204d0d7191ae!4m6!3m5!1s0x6b12af6707ca90df:0xd0870fb91a7c4965!8m2!3d-33.8721876!4d151.2058977!16s%2Fg%2F11spvv5y00?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Bubble Nini Cafe,cbd,Zetland,cafe,FALSE,FALSE,TRUE,"https://www.google.com/maps/place/Bubble+Nini+Cafe/@-33.9084859,151.1903946,14.33z/data=!4m6!3m5!1s0x6b12b1e802d781c3:0x537c7430cb6997fe!8m2!3d-33.9054289!4d151.2040196!16s%2Fg%2F11nz2w79gp?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Berry Boy,s,Hurstville,cafe,TRUE,TRUE,FALSE,"https://www.google.com/maps/place/Berry+Boy+Acai/@-33.9648163,151.0983979,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12b90b383fef33:0xd6a94cf9730db3ca!8m2!3d-33.9648163!4d151.1009728!16s%2Fg%2F11vqwqfx3m?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
1606 Luis de Torres,n,Rhodes,cafe,TRUE,TRUE,,"http://google.com/maps/place/1606+Luis+de+Torres+Rhodes,+Rider+Boulevard,+Rhodes+NSW/@-33.7910891,151.0768901,17z/data=!4m5!3m4!1s0x6b12a4e43c0cd8d3:0xdb0ac6055511414a!8m2!3d-33.8317866!4d151.0861066?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Hello Happy,iw,Strathfield,cafe,,TRUE,TRUE,"http://google.com/maps/place/Hello+Happy+Strathfield,+Parnell+Street,+Strathfield+NSW/@-33.8317866,151.0835317,17z/data=!3m1!5s0x6b12a4ef39d96241:0x4f8cae3da85f937f!4m5!3m4!1s0x6b12bad88feee143:0xbbfc3aceae0cdaf0!8m2!3d-33.8729151!4d151.0945566?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Sunbrew Cafe,s,Narwee,cafe,,TRUE,,"http://google.com/maps/place/Sunbrew+Cafe,+Fisher+Place,+Narwee+NSW/@-33.9596334,151.0492369,13.03z/data=!4m5!3m4!1s0x6b12b999622147b5:0x7a6f32a8a710a5e8!8m2!3d-33.9479315!4d151.069935?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Harry's House Cafe,w,Canley Heights,cafe,TRUE,TRUE,,"https://www.google.com/maps/place/Harry%E2%80%99s+House+Canley+Heights/@-33.9018601,150.9375028,13z/data=!4m10!1m2!2m1!1sharry's+house!3m6!1s0x6b1297ca203fc577:0x2d9f774ec96a24fa!8m2!3d-33.8840266!4d150.9259538!15sCg1oYXJyeSdzIGhvdXNlWg8iDWhhcnJ5J3MgaG91c2WSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11h2mzpwsn?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Sugarbaby Espresso,cbd,Mascot,cafe,,TRUE,,"https://www.google.com/maps/place/Sugarbaby+Espresso/@-33.9239821,151.183026,17z/data=!3m2!4b1!5s0x6b12b0557c891815:0xcac0bca2cb98034!4m6!3m5!1s0x6b12b1aac52ac519:0xe872378d9f532b23!8m2!3d-33.9239821!4d151.1856009!16s%2Fg%2F1hc935dx4?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
